circRNA	cow-liver-K024	cow-testis-adult-1	cow-liver-K001	cow-testis-adult-2	cow-liver-B005	cow-testis-neonat-2	cow-testis-neonat-1	cow-liver-K018	cow-liver-B028	cow-testis-neonat-3	cow-testis-adult-3	cow-liver-K006	cow-liver-K011	cow-liver-B008	cow-liver-B022	cow-liver-K013	cow-liver-B004	cow-liver-B027
10:83237790-83238233:+	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
10:84646916-84649444:+	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:84666091-84675770:+	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:8498832-8510566:+	0	0	0	0	0	17	11	0	0	16	0	0	0	0	0	0	0	0
10:8498832-8527927:+	0	0	0	0	0	0	6	0	0	12	0	0	0	0	0	0	0	0
10:85964407-85970750:-	9	0	7	0	11	0	6	0	0	0	0	17	6	8	11	14	0	9
10:8607940-8640366:-	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
10:8613182-8622262:-	8	0	0	0	0	0	0	0	7	0	0	0	0	7	0	9	0	6
10:86792200-86794920:+	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
10:88497345-88499296:-	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
10:88644417-88645246:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
